n,m,hilow
271,439,wt
273,442,wt
275,445,wt
276,447,wt
278,450,wt
279,452,wt
281,455,wt
283,458,wt
284,460,wt
286,463,wt
288,466,wt
289,468,wt
291,471,wt
292,473,wt
294,476,wt
296,479,wt
297,481,wt
299,484,wt
300,486,wt
302,489,wt
304,492,wt
305,494,wt
307,497,wt
309,500,wt
310,502,wt
312,505,wt
313,507,wt
315,510,wt
317,513,wt
318,515,wt
320,518,wt
321,520,wt
